VARIABLE,B1_1000_TOTAL_2009_2016.csv,B3_2000m_new_2016.csv,B3_2000m_TOTAL.csv,M3_new_2016.csv,M3_total_2009_2016_15min.csv,M4_new_2016.csv,M4_snow_2016.csv,S4_2016.csv,S4_total_2009_2016.csv
ELEVATION,980,1950,1950,2330,2330,1990,1990,2400,2400
AirTemp_Avg,0,0,0,0,0,0,0,0,0
AirTemp_Std,0,0,0,0,0,0,0,0,0
Albedo_Avg,0,0,0,0,0,0,0,0,0
Albedo_Std,0,0,0,0,0,0,0,0,0
ATT_C_Avg,0,0,0,0,0,0,0,0,0
ATT_C_Std,0,0,0,0,0,0,0,0,0
Batt_Volt_Avg,0,0,0,0,0,0,0,0,0
Batt_Volt_Min,0,0,0,0,0,0,0,0,0
BattV_Avg,0,0,0,0,0,0,0,0,0
BattV_Min,0,0,0,0,0,0,0,0,0
BF5_PAR_Up,0,1,0,0,0,0,1,1,0
BF5_PAR_Up_diff,0,1,0,0,0,0,1,1,0
Body_T_Avg,0,0,0,0,0,0,0,0,0
Body_T_Std,0,0,0,0,0,0,0,0,0
CTT_C_Avg,0,0,0,0,0,0,0,0,0
CTT_C_Std,0,0,0,0,0,0,0,0,0
diag_1_TOT,0,0,0,0,0,0,0,0,0
diag_10_TOT,0,0,0,0,0,0,0,0,0
diag_2_TOT,0,0,0,0,0,0,0,0,0
diag_4_TOT,0,0,0,0,0,0,0,0,0
diag_8_TOT,0,0,0,0,0,0,0,0,0
diag_9_TOT,0,0,0,0,0,0,0,0,0
DnTot_Avg,0,0,0,0,0,0,0,0,0
DnTot_Std,0,0,0,0,0,0,0,0,0
IR01Dn_Avg,0,0,0,0,0,0,0,0,0
IR01Dn_Std,0,0,0,0,0,0,0,0,0
IR01DnCo_Avg,0,0,0,0,0,0,0,0,0
IR01DnCo_Std,0,0,0,0,0,0,0,0,0
IR01Up_Avg,0,0,0,0,0,0,0,0,0
IR01Up_Std,0,0,0,0,0,0,0,0,0
IR01UpCo_Avg,0,0,0,0,0,0,0,0,0
IR01UpCo_Std,0,0,0,0,0,0,0,0,0
LWM_Con_Tot,0,0,0,0,0,0,0,0,0
LWM_Dry_Tot,0,0,0,0,0,0,0,0,0
LWM_Wet_Tot,0,0,0,0,0,0,0,0,0
LWMCon_Tot,0,0,0,0,0,0,0,0,0
LWMDry_Tot,0,0,0,0,0,0,0,0,0
LWmV_Max,0,0,0,0,0,0,0,0,0
LWmV_Min,0,0,0,0,0,0,0,0,0
LWmV_Std,0,0,0,0,0,0,0,0,0
LWMWet_Tot,0,0,0,0,0,0,0,0,0
mean_wind_direction,0,0,0,0,0,0,0,0,0
mean_wind_speed,0,0,0,0,0,0,0,0,0
n_TOT,0,0,0,0,0,0,0,0,0
NDVI_Avg,0,0,0,0,0,0,0,0,0
NDVI_DnNIR_Avg,0,0,0,0,0,0,0,0,0
NDVI_DnNIR_Std,0,0,0,0,0,0,0,0,0
NDVI_DnRed_Avg,0,0,0,0,0,0,0,0,0
NDVI_DnRed_Std,0,0,0,0,0,0,0,0,0
NDVI_DownNIR_Avg,0,0,0,0,0,0,0,0,0
NDVI_DownNIR_Std,0,0,0,0,0,0,0,0,0
NDVI_DownRed_Avg,0,0,0,0,0,0,0,0,0
NDVI_DownRed_Std,0,0,0,0,0,0,0,0,0
NDVI_Ind1_Avg,0,0,0,0,0,0,0,0,0
NDVI_Ind2_Avg,0,0,0,0,0,0,0,0,0
NDVI_Std,0,0,0,0,0,0,0,0,0
NDVI_UpNIR_Avg,0,0,0,0,0,0,0,0,0
NDVI_UpNIR_Std,0,0,0,0,0,0,0,0,0
NDVI_UpRed_Avg,0,0,0,0,0,0,0,0,0
NDVI_UpRed_Std,0,0,0,0,0,0,0,0,0
NetRl_Avg,0,0,0,0,0,0,0,0,0
NetRl_Std,0,0,0,0,0,0,0,0,0
NetRs_Avg,0,0,0,0,0,0,0,0,0
NetRs_Std,0,0,0,0,0,0,0,0,0
NetTot_Avg,0,0,0,0,0,0,0,0,0
NetTot_Std,0,0,0,0,0,0,0,0,0
no_data_TOT,0,0,0,0,0,0,0,0,0
NR01TC_Avg,0,0,0,0,0,0,0,0,0
NR01TC_Std,0,0,0,0,0,0,0,0,0
NR01TK_Avg,0,0,0,0,0,0,0,0,0
NR01TK_Std,0,0,0,0,0,0,0,0,0
PAR_Avg,0,0,0,0,0,0,0,0,0
PAR_Dif_Avg,0,0,0,0,0,0,0,0,0
PAR_Dif_Std,0,0,0,0,0,0,0,0,0
PAR_diff_Avg,0,0,0,0,0,0,0,0,0
PAR_diff_Std,0,0,0,0,0,0,0,0,0
PAR_Dn_L_Avg,0,0,0,0,0,0,0,0,0
PAR_Dn_L_Std,0,0,0,0,0,0,0,0,0
PAR_Dn_T_Avg,0,0,0,0,0,0,0,0,0
PAR_Dn_T_Std,0,0,0,0,0,0,0,0,0
PAR_SnowHeight_00_Avg,0,0,0,0,0,0,0,0,0
PAR_SnowHeight_00_Std,0,0,0,0,0,0,0,0,0
PAR_SnowHeight_20_Avg,0,0,0,0,0,0,0,0,0
PAR_SnowHeight_20_Std,0,0,0,0,0,0,0,0,0
PAR_Soil_A,0,1,0,1,0,1,0,1,0
PAR_Soil_B,0,1,0,0,0,0,0,0,0
PAR_Soil_C,0,1,0,0,0,0,0,0,0
PAR_Soil_L,1,0,0,0,0,0,0,0,0
PAR_Soil_LI,0,0,1,0,0,0,0,0,0
PAR_Soil_LS,0,0,1,0,0,0,0,0,0
PAR_Soil_SH_00,1,0,0,0,0,0,0,0,0
PAR_Soil_T,1,0,0,0,0,0,0,0,0
PAR_Std,0,0,0,0,0,0,0,0,0
PAR_Tot_Avg,0,0,0,0,0,0,0,0,0
PAR_Tot_Std,0,0,0,0,0,0,0,0,0
PAR_Up,1,0,1,1,0,0,0,0,0
PAR_up_Avg,0,0,0,0,0,0,0,0,0
PAR_up_diff_Avg,0,0,0,0,0,0,0,0,0
PAR_up_diff_Std,0,0,0,0,0,0,0,0,0
PAR_up_Std,0,0,0,0,0,0,0,0,0
PARdn_Avg,0,0,0,0,0,0,0,0,0
PARdn_IN_Avg,0,0,0,0,0,0,0,0,0
PARdn_IN_Std,0,0,0,0,0,0,0,0,0
PARdn_OUT_Avg,0,0,0,0,0,0,0,0,0
PARdn_OUT_Std,0,0,0,0,0,0,0,0,0
PARdn_Std,0,0,0,0,0,0,0,0,0
PARdnPlot1_Avg,0,0,0,0,0,0,0,0,0
PARdnPlot1_Std,0,0,0,0,0,0,0,0,0
PARdnPlot2_Avg,0,0,0,0,0,0,0,0,0
PARdnPlot2_Std,0,0,0,0,0,0,0,0,0
PARdnPlot3_Avg,0,0,0,0,0,0,0,0,0
PARdnPlot3_Std,0,0,0,0,0,0,0,0,0
PARsoil_20cm_Avg,0,0,0,0,0,0,0,0,0
PARsoil_20cm_Std,0,0,0,0,0,0,0,0,0
PARsoil_L_Avg,0,0,0,0,0,0,0,0,0
PARsoil_L_Std,0,0,0,0,0,0,0,0,0
PARsoil_LI_Avg,0,0,0,0,0,0,0,0,0
PARsoil_LI_Std,0,0,0,0,0,0,0,0,0
PARsoil_LS_Avg,0,0,0,0,0,0,0,0,0
PARsoil_LS_Std,0,0,0,0,0,0,0,0,0
PARsoil_LSm_Avg,0,0,0,0,0,0,0,0,0
PARsoil_LSm_Std,0,0,0,0,0,0,0,0,0
PARsoil_LSn_Avg,0,0,0,0,0,0,0,0,0
PARsoil_LSn_Std,0,0,0,0,0,0,0,0,0
PARsoil_LSn2_Avg,0,0,0,0,0,0,0,0,0
PARsoil_LSn2_Std,0,0,0,0,0,0,0,0,0
PARsoil_LSn3_Avg,0,0,0,0,0,0,0,0,0
PARsoil_LSn3_Std,0,0,0,0,0,0,0,0,0
PARsoil_LSp_Avg,0,0,0,0,0,0,0,0,0
PARsoil_LSp_Std,0,0,0,0,0,0,0,0,0
PARsoil_LSt_Avg,0,0,0,0,0,0,0,0,0
PARsoil_LSt_Std,0,0,0,0,0,0,0,0,0
PARsoil_TSn_Avg,0,0,0,0,0,0,0,0,0
PARsoil_TSn_Std,0,0,0,0,0,0,0,0,0
PARsoil_TSn2_Avg,0,0,0,0,0,0,0,0,0
PARsoil_TSn2_Std,0,0,0,0,0,0,0,0,0
PARsoil_TSn3_Avg,0,0,0,0,0,0,0,0,0
PARsoil_TSn3_Std,0,0,0,0,0,0,0,0,0
PARsoil_TSt_Avg,0,0,0,0,0,0,0,0,0
PARsoil_TSt_Std,0,0,0,0,0,0,0,0,0
PARup_Avg,0,0,0,0,0,0,0,0,0
PARup_diff_Avg,0,0,0,0,0,0,0,0,0
PARup_Std,0,0,0,0,0,0,0,0,0
PARup_tot_Avg,0,0,0,0,0,0,0,0,0
Pluviometer_Level,0,0,0,0,0,0,0,0,0
Precip_CS_Tot,0,0,0,0,0,0,0,0,0
Precip_soil_CI_Tot,0,0,0,0,0,0,0,0,0
Precip_soil_CS_Tot,0,0,0,0,0,0,0,0,0
Precip_T_Int15,1,0,1,1,0,0,0,0,0
Precip_Tot,0,0,0,0,0,0,0,0,0
Precip_W_BucketCont,0,0,1,0,0,0,1,1,0
Precip_W_BucketCont_NRT,0,0,1,0,0,0,1,1,0
Precip_W_Cum_NRT,1,0,1,0,0,0,1,1,0
Precip_W_Int15,0,0,1,0,0,0,1,1,0
Precip_W_Int15_NRT,1,0,1,0,0,0,1,1,0
Precip_W_Int60,1,0,1,0,0,0,1,1,0
Precip_W_Int60_Max,0,0,1,0,0,0,1,1,0
Precipitation__Tot,0,0,0,0,0,0,0,0,0
Precipitation_BucketContent,0,0,0,0,0,0,0,0,0
Precipitation_BucketContent_NRT,0,0,0,0,0,0,0,0,0
Precipitation_HeaterStatus,0,0,0,0,0,0,0,0,0
Precipitation_Intensity_Avg,0,0,0,0,0,0,0,0,0
Precipitation_Intensity_Max,0,0,0,0,0,0,0,0,0
Precipitation_Intensity_Std,0,0,0,0,0,0,0,0,0
Precipitation_NRT_CK,0,0,0,0,0,0,0,0,0
Precipitation_NRT_Tot,0,0,0,0,0,0,0,0,0
Precipitation_PluvioStatus,0,0,0,0,0,0,0,0,0
Precipitation_SupplyVoltage_Avg,0,0,0,0,0,0,0,0,0
Precipitation_SupplyVoltage_Std,0,0,0,0,0,0,0,0,0
Precipitation_T_Cell_Avg,0,0,0,0,0,0,0,0,0
Precipitation_T_Cell_Std,0,0,0,0,0,0,0,0,0
Precipitation_T_ElectricUnit_Avg,0,0,0,0,0,0,0,0,0
Precipitation_T_ElectricUnit_Std,0,0,0,0,0,0,0,0,0
Precipitation_T_HeatingRim_Avg,0,0,0,0,0,0,0,0,0
Precipitation_T_HeatingRim_Std,0,0,0,0,0,0,0,0,0
Precpi_W_Pluvio_Level,0,0,1,0,0,0,1,1,0
PRI_Avg,0,0,0,0,0,0,0,0,0
PRI_DnNIR_Avg,0,0,0,0,0,0,0,0,0
PRI_DnNIR_Std,0,0,0,0,0,0,0,0,0
PRI_DnRed_Avg,0,0,0,0,0,0,0,0,0
PRI_DnRed_Std,0,0,0,0,0,0,0,0,0
PRI_DownNIR_Avg,0,0,0,0,0,0,0,0,0
PRI_DownNIR_Std,0,0,0,0,0,0,0,0,0
PRI_DownRed_Avg,0,0,0,0,0,0,0,0,0
PRI_DownRed_Std,0,0,0,0,0,0,0,0,0
PRI_Ind1_Avg,0,0,0,0,0,0,0,0,0
PRI_Ind2_Avg,0,0,0,0,0,0,0,0,0
PRI_Std,0,0,0,0,0,0,0,0,0
PRI_UpNIR_Avg,0,0,0,0,0,0,0,0,0
PRI_UpNIR_Std,0,0,0,0,0,0,0,0,0
PRI_UpRed_Avg,0,0,0,0,0,0,0,0,0
PRI_UpRed_Std,0,0,0,0,0,0,0,0,0
PTemp_C_Avg,0,0,0,0,0,0,0,0,0
Rain_mm_Tot,0,0,0,0,0,0,0,0,0
Rain_Tot,0,0,0,0,0,0,0,0,0
RECORD,0,0,0,0,0,0,0,0,0
RH,1,0,1,1,0,0,1,1,0
RH_Avg,0,0,0,0,0,0,0,0,0
RH_Std,0,0,0,0,0,0,0,0,0
Rs_Avg,0,0,0,0,0,0,0,0,0
Rs_Std,0,0,0,0,0,0,0,0,0
SB_C_Avg,0,0,0,0,0,0,0,0,0
SB_C_Std,0,0,0,0,0,0,0,0,0
SBTempC_Avg,0,0,0,0,0,0,0,0,0
SBTempC_Std,0,0,0,0,0,0,0,0,0
SHF_Avg,0,0,0,0,0,0,0,0,0
SHF_Std,0,0,0,0,0,0,0,0,0
Snow_Dist0,0,0,0,0,0,0,1,1,0
Snow_Dist0_Avg,0,0,0,0,0,0,0,0,0
Snow_Dist0_Std,0,0,0,0,0,0,0,0,0
Snow_Height,1,1,1,0,0,0,1,1,0
Snow_Height_Avg,0,0,0,0,0,0,0,0,0
Snow_Height_Qual,1,0,1,0,0,0,1,0,0
Snow_Height_Std,0,0,1,0,0,0,0,0,0
Snow_Qual_Avg,0,0,0,0,0,0,0,1,0
Snow_Qual_Std,0,0,0,0,0,0,0,0,0
SR_Avg,0,0,0,0,0,0,0,0,0
SR_Std,0,0,0,0,0,0,0,0,0
SR_Sw,1,0,1,1,0,0,0,0,0
SR01Dn_Avg,0,0,0,0,0,0,0,0,0
SR01Dn_Std,0,0,0,0,0,0,0,0,0
SR01Up_Avg,0,0,0,0,0,0,0,0,0
SR01Up_Std,0,0,0,0,0,0,0,0,0
SR50_Quality,0,0,0,0,0,0,0,0,0
SR50_Quality_Avg,0,0,0,0,0,0,0,0,0
SR50_Quality_Std,0,0,0,0,0,0,0,0,0
SR50_SnowDepth,0,0,0,0,0,0,0,0,0
SR50_SnowDepth_Avg,0,0,0,0,0,0,0,0,0
SR50_SnowDepth_Std,0,0,0,0,0,0,0,0,0
SR50_T_Air,0,0,0,0,0,0,0,0,0
SR50_T_Air_Avg,0,0,0,0,0,0,0,0,0
SR50_T_Air_Std,0,0,0,0,0,0,0,0,0
SR50A_AirTempC,0,0,0,0,0,0,0,0,0
SR50A_AirTempC_Std,0,0,0,0,0,0,0,0,0
SR50A_QualityVal,0,0,0,0,0,0,0,0,0
SR50A_QualityVal_Std,0,0,0,0,0,0,0,0,0
SR50A_SnowDepth_Meters,0,0,0,0,0,0,0,0,0
SR50A_SnowDepth_Meters_Std,0,0,0,0,0,0,0,0,0
ST_02_A_Avg,0,0,0,0,0,0,0,0,0
ST_02_A_Std,0,0,0,0,0,0,0,0,0
ST_02_Avg,0,0,0,0,0,0,0,0,0
ST_02_B_Avg,0,0,0,0,0,0,0,0,0
ST_02_B_Std,0,0,0,0,0,0,0,0,0
ST_02_C_Avg,0,0,0,0,0,0,0,0,0
ST_02_C_Std,0,0,0,0,0,0,0,0,0
ST_02_Std,0,0,0,0,0,0,0,0,0
ST_05_A_Avg,0,0,0,0,0,0,0,0,0
ST_05_A_Std,0,0,0,0,0,0,0,0,0
ST_05_Avg,0,0,0,0,0,0,0,0,0
ST_05_B_Avg,0,0,0,0,0,0,0,0,0
ST_05_B_Std,0,0,0,0,0,0,0,0,0
ST_05_C_Avg,0,0,0,0,0,0,0,0,0
ST_05_C_Std,0,0,0,0,0,0,0,0,0
ST_05_Std,0,0,0,0,0,0,0,0,0
ST_20_A_Avg,0,0,0,0,0,0,0,0,0
ST_20_A_Std,0,0,0,0,0,0,0,0,0
ST_20_Avg,0,0,0,0,0,0,0,0,0
ST_20_B_Avg,0,0,0,0,0,0,0,0,0
ST_20_B_Std,0,0,0,0,0,0,0,0,0
ST_20_C_Avg,0,0,0,0,0,0,0,0,0
ST_20_C_Std,0,0,0,0,0,0,0,0,0
ST_20_Std,0,0,0,0,0,0,0,0,0
ST_50_Avg,0,0,0,0,0,0,0,0,0
ST_50_Std,0,0,0,0,0,0,0,0,0
ST_CI_00,0,0,1,0,0,0,0,0,0
ST_CI_00_Avg,0,0,0,0,0,0,0,0,0
ST_CI_00_Std,0,0,0,0,0,0,0,0,0
ST_CI_05_Avg,0,0,0,0,0,0,0,0,0
ST_CI_05_Std,0,0,0,0,0,0,0,0,0
ST_CI_10_Avg,0,0,0,0,0,0,0,0,0
ST_CI_10_Std,0,0,0,0,0,0,0,0,0
ST_CI_20_Avg,0,0,0,0,0,0,0,0,0
ST_CI_20_Std,0,0,0,0,0,0,0,0,0
ST_CI_50_Avg,0,0,0,0,0,0,0,0,0
ST_CI_50_Std,0,0,0,0,0,0,0,0,0
ST_CS_00,1,0,1,0,0,0,0,0,0
ST_CS_00_Avg,0,0,0,0,0,0,0,0,0
ST_CS_00_Std,0,0,0,0,0,0,0,0,0
ST_CS_05_Avg,0,0,0,0,0,0,0,0,0
ST_CS_05_Std,0,0,0,0,0,0,0,0,0
ST_CS_10_Avg,0,0,0,0,0,0,0,0,0
ST_CS_10_Std,0,0,0,0,0,0,0,0,0
